category,fold,run_id,run_name,val_auroc,val_f1,test_auroc,test_f1,metric_source
bottle,1,2ttquttl,supervised-defect-bottle-r100-fold1,0.991452932357788,0.9142857193946838,0.9841269850730896,0.875,val
bottle,2,eql5y2ft,supervised-defect-bottle-r100-fold2,0.9726495742797852,0.2857142984867096,0.92380952835083,0.20000000298023224,val
bottle,3,hdq1ykmm,supervised-defect-bottle-r100-fold3,0.9939236044883728,0.8387096524238586,0.9746031761169434,0.6153846383094788,val
capsule,1,rqt6d21y,supervised-defect-capsule-r100-fold1,0.9551191926002502,0.7450980544090271,0.8800675868988037,0.692307710647583,val
capsule,2,8q5d2y9s,supervised-defect-capsule-r100-fold2,0.9103415608406068,0.7241379022598267,0.9341216087341307,0.7692307829856873,val
capsule,3,sah96h8m,supervised-defect-capsule-r100-fold3,0.9530360698699952,0.800000011920929,0.9408783912658693,0.8387096524238586,val
carpet,1,im49iujp,supervised-defect-carpet-r100-fold1,0.96640145778656,0.800000011920929,0.9558101892471312,0.774193525314331,val
carpet,2,scl0xi08,supervised-defect-carpet-r100-fold2,0.913103461265564,0.8461538553237915,0.9345335960388184,0.692307710647583,val
carpet,3,x37eqvqu,supervised-defect-carpet-r100-fold3,0.9383907914161682,0.4864864945411682,0.8870704174041748,0.1428571492433548,val
hazelnut,1,la0gi1ym,supervised-defect-hazelnut-r100-fold1,0.9950819611549376,0.75,0.9860140085220336,0.7777777910232544,val
hazelnut,2,kfr869bh,supervised-defect-hazelnut-r100-fold2,0.9715163707733154,0.7878788113594055,0.9580419063568116,0.5333333611488342,val
hazelnut,3,rmzpraec,supervised-defect-hazelnut-r100-fold3,0.9861949682235718,0.8823529481887817,0.9930070042610168,0.7058823704719543,val
leather,1,rwhcwua0,supervised-defect-leather-r100-fold1,0.9961051940917968,0.9387755393981934,0.994897961616516,0.9230769276618958,val
leather,2,se2higws,supervised-defect-leather-r100-fold2,0.999506950378418,0.8181818127632141,1,0.9230769276618958,val
leather,3,605iippn,supervised-defect-leather-r100-fold3,1,1,0.9965986013412476,0.9285714030265808,val
pill,1,vcsz5rpt,supervised-defect-pill-r100-fold1,0.8667168617248535,0.7323943376541138,0.89462810754776,0.7906976938247681,val
pill,2,zlwk6gpy,supervised-defect-pill-r100-fold2,0.8771084547042847,0.7123287916183472,0.903925597667694,0.75,val
pill,3,zqdxt95n,supervised-defect-pill-r100-fold3,0.9153536558151244,0.7647058963775635,0.94111567735672,0.782608687877655,val
